Voltage_V,dQdV_mAh_per_V,Step
3.4801509,-322.936625721095,Discharge
3.4810681,-332.987264480574,Discharge
3.4819856,-322.88569726386,Discharge
3.4829602,-340.068065331674,Discharge
3.4837821,-307.387398705986,Discharge
3.4849477,-290.629689114887,Discharge
3.4858842,-329.539275769914,Discharge
3.4868016,-329.574851597227,Discharge
3.4877379,-319.709517468571,Discharge
3.4887125,-319.659370976623,Discharge
3.4896491,-326.161450847742,Discharge
3.4905856,-343.722848513144,Discharge
3.4914265,-307.403107841688,Discharge
3.492573,-329.574856428247,Discharge
3.4932802,-367.412177491685,Discharge
3.4942358,-333.006133382664,Discharge
3.4951148,-359.203368589955,Discharge
3.4959366,-340.068500750001,Discharge
3.4969113,-313.411499041332,Discharge
3.4978859,-347.456642595871,Discharge
3.4986696,-340.068424564223,Discharge
3.4996824,-304.461697295941,Discharge
3.5006762,-329.574836964792,Discharge
3.5015361,-367.434200282411,Discharge
3.5023389,-340.068311675524,Discharge
3.5033326,-355.214108971684,Discharge
3.5049763,-336.491013666273,Discharge
3.5058744,-329.574936570422,Discharge
3.50683,-329.574905995297,Discharge
3.5077281,-336.509489511542,Discharge
3.5086455,-359.18219331981,Discharge
3.509429,-355.193642630128,Discharge
3.5103655,-322.886276582233,Discharge
3.5113211,-333.006209465021,Discharge
3.5129647,-351.252409669399,Discharge
3.5139394,-336.491079549387,Discharge
3.5147803,-319.709611304375,Discharge
3.5158503,-343.761550002891,Discharge
3.5174174,-336.509225149203,Discharge
3.518373,-359.181796798801,Discharge
3.5191183,-343.722417528808,Discharge
3.5201504,-329.521090654826,Discharge
3.5217557,-351.312266616325,Discharge
3.5227113,-333.00560133534,Discharge
3.5235903,-319.675660552869,Discharge
3.5246224,-326.178431137624,Discharge
3.5254633,-355.193117494885,Discharge
3.5263424,-322.919880338648,Discharge
3.5273552,-351.312318719909,Discharge
3.5289032,-322.885741879364,Discharge
3.5299735,-322.885719386625,Discharge
3.5307953,-326.2131618896,Discharge
3.5318463,-313.410900575127,Discharge
3.5327446,-351.271704038099,Discharge
3.5335855,-347.495393267396,Discharge
3.5345027,-343.760709031524,Discharge
3.5353627,-336.490073067864,Discharge
3.5363183,-329.520582507622,Discharge
3.5372167,-355.151096187448,Discharge
3.5380385,-333.004867061669,Discharge
3.5390513,-322.936160806391,Discharge
3.5399303,-340.067139340678,Discharge
3.5408478,-313.394200242297,Discharge
3.5418797,-333.004860510493,Discharge
3.5426824,-316.511666033012,Discharge
3.5438099,-290.62884543914,Discharge
3.5447845,-307.35571108833,Discharge
3.5457976,-329.520499276519,Discharge
3.5466385,-329.573866395011,Discharge
3.5476513,-313.410524763978,Discharge
3.5485878,-307.402227626177,Discharge
3.5496387,-298.75847897509,Discharge
3.5506327,-310.322152992828,Discharge
3.5516074,-322.919431976972,Discharge
3.5525246,-343.779934466738,Discharge
3.5533845,-307.355889169873,Discharge
3.5545123,-293.2798389168,Discharge
3.5554676,-316.544648793267,Discharge
3.5564423,-301.57523814198,Discharge
3.5574934,-285.415115466217,Discharge
3.5585828,-293.279729996527,Discharge
3.5595765,-326.177778723384,Discharge
3.5604558,-310.337794499871,Discharge
3.5615451,-270.922858449895,Discharge
3.5627108,-273.237219106114,Discharge
3.563781,-282.890875154551,Discharge
3.5648704,-277.97400916409,Discharge
3.5659788,-285.415316601669,Discharge
3.5670109,-285.41537562502,Discharge
3.5681193,-282.891150161132,Discharge
3.5691705,-268.624172984204,Discharge
3.5703936,-273.23773658959,Discharge
3.5714064,-282.891508671294,Discharge
3.5725532,-268.636284801221,Discharge
3.5736806,-275.592174270975,Discharge
3.57477,-262.034243437023,Discharge
3.5760121,-251.713124008037,Discharge
3.5771971,-266.387440874905,Discharge
3.5783055,-273.238061539952,Discharge
3.579433,-259.905153478039,Discharge
3.5806561,-249.758042818472,Discharge
3.5818791,-233.331987301982,Discharge
3.5832744,-249.717178157869,Discharge
3.5843256,-264.198699496659,Discharge
3.5855868,-249.757999859868,Discharge
3.5867717,-249.747732270305,Discharge
3.588033,-225.129045416227,Discharge
3.5894854,-231.650743836282,Discharge
3.5906703,-242.174010252434,Discharge
3.5920081,-226.716280973202,Discharge
3.593365,-236.80468558247,Discharge
3.594588,-220.465691308301,Discharge
3.5961361,-223.539208065048,Discharge
3.597321,-245.887812416529,Discharge
3.5986207,-231.642156063499,Discharge
3.5999584,-218.956746210618,Discharge
3.6014109,-217.46811530077,Discharge
3.6027677,-213.128634943704,Discharge
3.6042774,-207.588597354833,Discharge
3.6057107,-221.996082883117,Discharge
3.6070294,-217.46813849127,Discharge
3.60852,-204.908019090899,Discharge
3.6100109,-208.923204482076,Discharge
3.6114442,-213.128642932854,Discharge
3.6128774,-204.92861939899,Discharge
3.6144254,-198.548278073659,Discharge
3.6159544,-202.322465472992,Discharge
3.617445,-199.801408542727,Discharge
3.6190121,-189.154925970121,Discharge
3.6206748,-192.577371725279,Discharge
3.6221845,-199.794746560331,Discharge
3.6237326,-197.323160549926,Discharge
3.6252806,-190.280024672083,Discharge
3.6269433,-192.57721664965,Discharge
3.628453,-190.285916116445,Discharge
3.6301539,-179.590808471271,Discharge
3.6318548,-182.667692682951,Discharge
3.6334984,-182.66771979409,Discharge
3.6351993,-176.621065469037,Discharge
3.6369574,-170.952358957985,Discharge
3.638773,-179.591014170299,Discharge
3.6403592,-180.610465493814,Discharge
3.6421556,-172.789876438553,Discharge
3.6438949,-170.943054627576,Discharge
3.6457295,-170.952661066663,Discharge
3.6474686,-169.149365936104,Discharge
3.6493413,-169.140088752952,Discharge
3.6510806,-166.489803694988,Discharge
3.6530108,-163.098547316972,Discharge
3.6548264,-163.098576657827,Discharge
3.6567566,-159.842676545142,Discharge
3.6586485,-159.047858350654,Discharge
3.6605978,-157.477660981179,Discharge
3.662528,-158.252701658042,Discharge
3.6644583,-152.951566606197,Discharge
3.6665223,-152.227421596209,Discharge
3.6684716,-155.934102337436,Discharge
3.6704402,-149.379937074891,Discharge
3.6725614,-153.697906077211,Discharge
3.6744151,-145.967789415769,Discharge
3.6767468,-143.344292030506,Discharge
3.6786771,-155.941775488541,Discharge
3.6806645,-143.354255892142,Discharge
3.6829388,-133.196562694372,Discharge
3.6852512,-140.823033133178,Discharge
3.6872771,-140.20573083231,Discharge
3.6896086,-136.612798083598,Discharge
3.6917491,-136.031803286996,Discharge
3.6940997,-134.321038715826,Discharge
3.6962974,-136.031775507281,Discharge
3.6985908,-129.946859391152,Discharge
3.7009988,-125.856359416949,Discharge
3.703445,-122.951100711619,Discharge
3.7059677,-121.086840587777,Discharge
3.7084904,-122.482682198243,Discharge
3.7109556,-120.630107955733,Discharge
3.7135549,-116.670035763706,Discharge
3.716192,-113.765250192424,Discharge
3.718925,-107.995495430452,Discharge
3.721849,-104.810555846691,Discharge
3.7247539,-104.126326274041,Discharge
3.7277162,-102.789539896992,Discharge
3.7306974,-96.2881763867785,Discharge
3.734061,-87.3416725424508,Discharge
3.7376921,-82.1791886398463,Discharge
3.7414951,-78.9312335238036,Discharge
3.7454321,-53.5156716241971,Discharge
3.750057,-31.903261878079,Discharge
3.7550068,-27.9923840588368,Discharge
3.7609694,-23.3337151067434,Discharge
3.7680979,-19.1419793815991,Discharge
3.7769272,-14.7858447047893,Discharge
3.7887571,-4.58057683702449,Discharge
3.8436139,-2.78418978989731,Discharge
3.5101764,2.45837400076052,Charge
3.5723429,4.24924309661732,Charge
3.5821085,18.3836100787188,Charge
3.5889695,25.4267053974543,Charge
3.5941296,32.5073749472066,Charge
3.5983722,39.5893102440551,Charge
3.6018503,45.9586552543936,Charge
3.6050229,74.5045347916372,Charge
3.6080041,105.571997777477,Charge
3.6108134,115.062315002077,Charge
3.613317,124.463455968714,Charge
3.615725,126.931525611444,Charge
3.6181331,131.099090445247,Charge
3.620388,136.117019301098,Charge
3.6226242,140.293587963557,Charge
3.6247454,142.172995905246,Charge
3.626924,139.678211838936,Charge
3.629122,146.055650743437,Charge
3.6311095,153.050952588861,Charge
